property_title,property_location,price,area,listing_type
محلات للإيجار بموقع استثنائي بالخوير بجانب فندق ميركيور وخلف الجراند مول,"Muscat, Al Khuwair",400.0,40.0,For Rent
90 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30.0,90.0,For Rent
600 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25.0,600.0,For Rent
95 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",38.0,95.0,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",110.0,95.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",260.0,100.0,For Rent
99 m2 2 Bedrooms Apartments for Rent in Muscat Amerat,"Muscat, Amerat",25000.0,99.0,For Rent
75 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",28.0,75.0,For Rent
Furnished Office for Rent in Avenues Mall Ghoubra Bawshar مكاتب للإيجار في الغبرة بوشر,"Muscat, Bosher",150.0,100.0,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",120.0,100.0,For Rent
salalah hotel tijan al khalej,"Dhofar, Sadah",20.0,120.0,For Rent
"Very good apartment for rent, Al Khuwair  Masjid taimoor near college","Muscat, Bosher",300.0,180.0,For Rent
30 m2 1 Bedroom Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",10.0,30.0,For Rent
Unfurnished Monthly in Muscat Ansab,"Muscat, Ansab",110.0,30.0,For Rent
Cold Storage for Rent,"Al Batinah, Sohar",1.0,5000.0,For Rent
2 Bedrooms Chalet for Rent in Al Dakhiliya Bidbid,"Al Dakhiliya, Bidbid",40.0,220.0,For Rent
Daily Rent - New Salalah شقق للايجار بموقع مميز,"Dhofar, Salala",35.0,335.0,For Rent
Furnished Daily in Muscat Al-Hail,"Muscat, Al-Hail",8.0,335.0,For Rent
Furnished Daily in Muscat Al-Hail,"Muscat, Al-Hail",5.0,335.0,For Rent
1 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",18.0,1.0,For Rent
90 m2 3 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",350.0,90.0,For Rent
Unfurnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",95.0,90.0,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",50.0,620.0,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40.0,200.0,For Rent
850 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",75.0,850.0,For Rent
Semi Furnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",130.0,850.0,For Rent
Furnished Daily in Dhofar Taqah,"Dhofar, Taqah",10.0,850.0,For Rent
شقة نجم الامارات صلالة,"Dhofar, Salala",20.0,160.0,For Rent
225 m2 1 Bedroom Apartments for Rent in Muscat Bosher,"Muscat, Bosher",220.0,225.0,For Rent
230 m2 3 Bedrooms Apartments for Rent in Dhofar Taqah,"Dhofar, Taqah",50.0,230.0,For Rent
115 m2 2 Bedrooms Apartments for Rent in Muscat Ghala,"Muscat, Ghala",240.0,115.0,For Rent
Furnished Daily in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",12.0,115.0,For Rent
140 m2 4 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",400.0,140.0,For Rent
Furnished Daily in Muscat Al Mawaleh,"Muscat, Al Mawaleh",7.0,140.0,For Rent
فرصة ذهبية! معرض بموقع مميز جدآ -للإيجار بأفضل موقع بالمعبيلة مع شهرين مجاناً,"Muscat, Al Maabilah",900.0,320.0,For Rent
76 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",250.0,76.0,For Rent
Furnished Daily in Muscat Amerat,"Muscat, Amerat",10.0,76.0,For Rent
50 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",17.0,50.0,For Rent
معارض للإيجار المعبيلة على طريق نيستو 1200 ريال - 92متر مربع,"Muscat, Seeb",1200.0,92.0,For Rent
2 Bedroom Apartment in Al Ghubra - Bait Abdullah,"Muscat, Ghubrah",225.0,78.0,For Rent
3 Bedroom Apartment for Rent at Ruwi - Mudhaireb,"Muscat, Ruwi",250.0,92.0,For Rent
Semi Furnished Monthly in Muscat Bosher,"Muscat, Bosher",110.0,92.0,For Rent
Furnished 2 Bedroom Apartment with Maid Room at Al Khuwair - Al Amal B,"Muscat, Al Khuwair",340.0,92.0,For Rent
Apartment for Rent with 2 Bedrooms at Ruwi MBD - Matar Al Kadeem,"Muscat, Ruwi",200.0,72.0,For Rent
Furnished Daily in Al Batinah Sohar,"Al Batinah, Sohar",10.0,72.0,For Rent
محل موبايل وكمبيوتر للبيع في سوق السيب للموبايلات,"Muscat, Seeb",150.0,35.0,For Rent
عرض و تخفيض لفترة محدودة محلات بسوق الخوض التجاري,"Muscat, Al Khoud",2000.0,360.0,For Rent
Semi Furnished Monthly in Muscat Al-Hail,"Muscat, Al-Hail",90.0,360.0,For Rent
Apartment for Rent with 1 Bedroom at Ruwi - REX,"Muscat, Ruwi",140.0,63.0,For Rent
260 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",120.0,260.0,For Rent
Furnished Monthly in Muscat Bosher,"Muscat, Bosher",100.0,90.0,For Rent
معرض للايجار في الثرمد بالقرب من دوار القاعده,"Al Batinah, Suwaiq",15000.0,5607.0,For Rent
3 Bedroom Apartment at Al Maabilah - Baraq Al Reef,"Muscat, Al Maabilah",210.0,100.0,For Rent
2 Bedrooms Chalet for Rent in Al Dakhiliya Other,"Al Dakhiliya, Other",58.0,250.0,For Rent
محل للايجار فالعذيبه,"Muscat, Azaiba",750.0,43.0,For Rent
Commercial Apartment for Rent with 1 Room at Al Hail 1,"Muscat, Al-Hail",180.0,69.0,For Rent
250 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",120.0,250.0,For Rent
205 m2 5 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",90.0,205.0,For Rent
90 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",18.0,90.0,For Rent
Furnished Daily in Muscat Al Mawaleh,"Muscat, Al Mawaleh",7.0,90.0,For Rent
122 m2 3 Bedrooms Apartments for Rent in Dhofar Taqah,"Dhofar, Taqah",40.0,122.0,For Rent
Semi Furnished Monthly in Muscat Al-Hail,"Muscat, Al-Hail",90.0,122.0,For Rent
102 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",24.0,102.0,For Rent
400 m2 More than 6 bedrooms Townhouse for Rent in Al Batinah Other,"Al Batinah, Other",430.0,400.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",35.0,400.0,For Rent
محل للايجار بموقع مميز في مسقط هيلز إبتداءاً من 23 متر جاهز التسليم,"Muscat, Muscat Hills",150.0,57.0,For Rent
مكتب شبه مؤثث و مقسم فاخر في الفردان هايتس شهرين مجاني والسعر قابل للتفاوض,"Muscat, Ghala",940.0,130.0,For Rent
110 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25.0,110.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",40.0,110.0,For Rent
8 m2 1 Bedroom Apartments for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",10.0,8.0,For Rent
Shops for Rent with Limited-Time Offer – 3 Months Fit-Out Period + 50% Rent for 2 Months!,"Muscat, Muscat Hills",380.0,58.0,For Rent
320 m2 More than 6 bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",1.0,320.0,For Rent
Unfurnished Monthly in Muscat Al-Hail,"Muscat, Al-Hail",100.0,320.0,For Rent
110 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1.0,110.0,For Rent
123 m2 1 Bedroom Apartments for Rent in Muscat Bosher,"Muscat, Bosher",25.0,123.0,For Rent
40 m2 Studio Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",130.0,40.0,For Rent
4 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",150.0,450.0,For Rent
Unfurnished Monthly in Muscat Ansab,"Muscat, Ansab",100.0,450.0,For Rent
Furnished Monthly in Muscat Qurm,"Muscat, Qurm",50.0,450.0,For Rent
1 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25.0,1.0,For Rent
200 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20.0,200.0,For Rent
Rateel Apartments 2,"Dhofar, Salala",50.0,90.0,For Rent
room for rent,"Muscat, Azaiba",8.0,90.0,For Rent
مكاتب للإيجار في سكوير الخوض السيب Office for Rent in SQUare Al Khoud Al Seeb,"Muscat, Al Khoud",140.0,100.0,For Rent
400 m2 5 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",100.0,400.0,For Rent
211 m2 Studio Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",10.0,211.0,For Rent
22 m2 1 Bedroom Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",11.0,22.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",10.0,22.0,For Rent
Furnished Daily in Muscat Al Khoud,"Muscat, Al Khoud",6.0,22.0,For Rent
110 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",450.0,110.0,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",50.0,300.0,For Rent
120 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",65.0,120.0,For Rent
110 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",280.0,110.0,For Rent
Hotel Tijan Al Khalej  Furnished Apartment for daily rent,"Dhofar, Salala",35.0,70.0,For Rent
1 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35.0,1.0,For Rent
110 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",450.0,110.0,For Rent
115 m2 2 Bedrooms Apartments for Rent in Muscat Muscat Hills,"Muscat, Muscat Hills",750.0,115.0,For Rent
1 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40.0,1.0,For Rent
300 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25.0,300.0,For Rent
Furnished Daily in Muscat Al Khoud,"Muscat, Al Khoud",8.0,300.0,For Rent
90 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",18.0,90.0,For Rent
مكاتب للإيجار في بوشر,"Muscat, Bosher",500.0,82.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",17.0,82.0,For Rent
500 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",1.0,500.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50.0,100.0,For Rent
Unfurnished Monthly in Muscat Al-Hail,"Muscat, Al-Hail",140.0,100.0,For Rent
hotel apartments for rent in saruj water front,"Muscat, Qurm",12.0,100.0,For Rent
Furnished Daily in Muscat Al Mawaleh,"Muscat, Al Mawaleh",12.0,100.0,For Rent
Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",8.0,100.0,For Rent
200 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",55.0,200.0,For Rent
Semi Furnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",85.0,200.0,For Rent
Furnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",120.0,200.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",17.0,100.0,For Rent
"Private office space for 3 persons in MUSCAT, Al Wattayah","Muscat, Other",347.0,15.0,For Rent
مبنى جديد معرض دورين للايجار جنب صالة عمانتل,"Al Batinah, Liwa",25.0,1100.0,For Rent
"Private office space for 1 person in MUSCAT, Hormuz Grand","Muscat, Muttrah",225.0,8.0,For Rent
"Private office space for 3 persons in MUSCAT, Shatti Al Qurum","Muscat, Other",423.0,15.0,For Rent
"Private office space for 1 person in MUSCAT, Al Mawaleh","Muscat, Al Mawaleh",189.0,8.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1.0,100.0,For Rent
130 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",80.0,130.0,For Rent
65 m2 1 Bedroom Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",250.0,65.0,For Rent
20 m2 1 Bedroom Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",160.0,20.0,For Rent
80 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20.0,80.0,For Rent
3 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",150.0,1.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",40.0,1.0,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",6.0,1.0,For Rent
