Property Title,Location,Bedrooms,Price,Size,Listing Type
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",,100 OMR,,For Rent
70 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1.0,45 OMR,70.0,For Rent
محل للإيجار في الباطنة,"Al Batinah, Sohar",,150 OMR,20.0,For Rent
190 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3.0,65 OMR,190.0,For Rent
Shop in Amerat free wifi (B7820),"Muscat, Amerat",,85 OMR,25.0,For Rent
230sqm shop in mabila محل ارضي المعبيله,"Muscat, Al Maabilah",,"1,600 OMR",230.0,For Rent
مخزن جديد في المسفاة مساحة الف متر مربع  للايجار New warehouse For Rent in Almesfah,"Muscat, Misfah",,"2,300 OMR",1000.0,For Rent
90 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3.0,30 OMR,90.0,For Rent
36 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1.0,20 OMR,36.0,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,29 OMR,90.0,For Rent
Daily room rent. إيجار غرفة يومية في المعبيلة,"Muscat, Al Maabilah",,6 OMR,,For Rent
3000 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",4.0,40 OMR,3000.0,For Rent
مساحات تجارية مميزة للإيجار في سوق الخوض – محلات بواجهتين أمامية وخلفية Shops for Rent in Al Khoudh,"Muscat, Al Khoud",,400 OMR,40.0,For Rent
80 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3.0,30 OMR,80.0,For Rent
600 m2 More than 6 bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",,10 OMR,600.0,For Rent
Unfurnished Yearly in Muscat Al Khoud,"Muscat, Al Khoud",,90 OMR,,For Rent
250 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",4.0,120 OMR,250.0,For Rent
90 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1.0,20 OMR,90.0,For Rent
Furnished Daily in Muscat Al Khuwair,"Muscat, Al Khuwair",,4 OMR,,For Rent
88 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",2.0,24 OMR,88.0,For Rent
"Room for Rent – South Al Maabela, Next to Nesto ،Muscat Mall & Sooq bin Rashid","Muscat, Al Maabilah",,95 OMR,,For Rent
90 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",,35 OMR,90.0,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",2.0,40 OMR,141.0,For Rent
550 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",5.0,150 OMR,550.0,For Rent
5000 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,50 OMR,5000.0,For Rent
Furnished Monthly in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",,65 OMR,,For Rent
غرف مميزة للايجار بالموالح الجنوبية شامل كهرباء وماء وواي فاي,"Muscat, Al Mawaleh",,95 OMR,250.0,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",2.0,25 OMR,200.0,For Rent
200 m2 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",3.0,105 OMR,200.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,45 OMR,,For Rent
130 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,50 OMR,130.0,For Rent
Shops for rent in in busy city Suhar near all attractions with biggest Brands,"Al Batinah, Sohar",,150 OMR,20.0,For Rent
Furnished Daily in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",,7 OMR,,For Rent
130 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,50 OMR,130.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,40 OMR,100.0,For Rent
Furnished Daily in Muscat Al Mawaleh,"Muscat, Al Mawaleh",,10 OMR,,For Rent
80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,,80.0,For Rent
140 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1.0,35 OMR,140.0,For Rent
61 m2 Studio Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",,450 OMR,61.0,For Rent
3 Bedrooms Chalet for Rent in Al Batinah Al Khaboura,"Al Batinah, Al Khaboura",3.0,30 OMR,200.0,For Rent
380 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",4.0,150 OMR,380.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,15 OMR,,For Rent
150 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,35 OMR,150.0,For Rent
120 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,,120.0,For Rent
مخزن للايجار قريب من مسقط خلف حديقه النسيم العامه,"Al Batinah, Al Rumais",,400 OMR,200.0,For Rent
123 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1.0,,123.0,For Rent
60 m2 Studio Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",,180 OMR,60.0,For Rent
1234 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",5.0,,1234.0,For Rent
85 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",,1 OMR,85.0,For Rent
300 m2 4 Bedrooms Villa for Rent in Dhofar Taqah,"Dhofar, Taqah",4.0,60 OMR,300.0,For Rent
عقود ايجار مؤقتة.   Temporary rental agreement,"Muscat, Bosher",,80 OMR,200.0,For Rent
1 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",,9 OMR,1.0,For Rent
Fully Furnished Duplex Villa For Daily Rent,"Dhofar, Salala",4.0,150 OMR,2500.0,For Rent
500 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,50 OMR,500.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,,,For Rent
Furnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",,40 OMR,,For Rent
Furnished Daily in Muscat Al Mawaleh,"Muscat, Al Mawaleh",,9 OMR,,For Rent
400 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",1.0,100 OMR,400.0,For Rent
2 Bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",2.0,60 OMR,185.0,For Rent
1200 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",,150 OMR,1200.0,For Rent
Unfurnished Yearly in Muscat Al Khoud,"Muscat, Al Khoud",,90 OMR,,For Rent
farm for rent start from 25r to 100r  استراحة  في بركاء خلف التنين ايجار يبداء من 25ريال,"Al Batinah, Barka",2.0,50 OMR,500.0,For Rent
Furnished Daily in Muscat Al-Hail,"Muscat, Al-Hail",,10 OMR,,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,20 OMR,100.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,15 OMR,,For Rent
110 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3.0,,110.0,For Rent
1000 m2 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",3.0,"350,000 OMR",1000.0,For Rent
150 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,40 OMR,150.0,For Rent
Furnished  in Muscat Al Mawaleh,"Muscat, Al Mawaleh",,100 OMR,,For Rent
Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",,110 OMR,,For Rent
60 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",,30 OMR,60.0,For Rent
60 m2 1 Bedroom Apartments for Rent in Muscat Amerat,"Muscat, Amerat",1.0,120 OMR,60.0,For Rent
Furnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",,100 OMR,,For Rent
Furnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",,110 OMR,,For Rent
Furnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",,100 OMR,,For Rent
Furnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",,100 OMR,,For Rent
Furnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",,90 OMR,,For Rent
1 Bedroom Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",1.0,160 OMR,500.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,35 OMR,,For Rent
300 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",5.0,99 OMR,300.0,For Rent
Spacious two bedrooms apartment foe rent in Ghubrah 18 November street near Tamam Supermarket,"Muscat, Ghubrah",2.0,190 OMR,110.0,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",2.0,50 OMR,1000.0,For Rent
Shops in mabela muscat mega mall محلات للايجار المعبيلة مسقط ميجا مول,"Muscat, Al Maabilah",,200 OMR,100.0,For Rent
4 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",4.0,150 OMR,450.0,For Rent
Bareeq High end Apartment,"Muscat, Bosher",2.0,550 OMR,100.0,For Rent
Furnished Monthly in Muscat Amerat,"Muscat, Amerat",,100 OMR,,For Rent
50 m2 2 Bedrooms Apartments for Rent in Buraimi Al Buraimi,"Buraimi, Al Buraimi",2.0,50 OMR,50.0,For Rent
Furnished Daily in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",,7 OMR,,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,25 OMR,200.0,For Rent
Furnished Monthly in Muscat Qurm,"Muscat, Qurm",,135 OMR,,For Rent
4 Bedrooms Chalet for Rent in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",4.0,60 OMR,2500.0,For Rent
Sweet room 7star fully furnished at alansab bousher,"Muscat, Ansab",,210 OMR,,For Rent
10 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",4.0,60 OMR,10.0,For Rent
Furnished Daily in Muscat Al Mawaleh,"Muscat, Al Mawaleh",,15 OMR,,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,27 OMR,200.0,For Rent
96 m2 1 Bedroom Apartments for Rent in Muscat Muscat Hills,"Muscat, Muscat Hills",1.0,340 OMR,96.0,For Rent
95 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,50 OMR,95.0,For Rent
120 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",4.0,65 OMR,120.0,For Rent
300 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",4.0,120 OMR,300.0,For Rent
New building with Furnished Apartments Prime location in Al Wadi Salalah,"Dhofar, Salala",1.0,35 OMR,180.0,For Rent
Studio apartment,"Muscat, Azaiba",,180 OMR,188.0,For Rent
Semi Furnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",,65 OMR,,For Rent
ground floors,"Dhofar, Salala",2.0,28 OMR,120.0,For Rent
300 m2 5 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",5.0,100 OMR,300.0,For Rent
Unfurnished Yearly in Muscat Al Khoud,"Muscat, Al Khoud",,160 OMR,,For Rent
350 m2 4 Bedrooms Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",4.0,"1,250 OMR",350.0,For Rent
SHOPS FOR RENT (READY MADE STORE / TAILORING / SHOES / BOUTIQUE / ELECTRONICS / TOUR & TRAVELS),"Muscat, Ruwi",,240 OMR,40.0,For Rent
100 m2 3 Bedrooms Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",3.0,220 OMR,100.0,For Rent
500 m2 More than 6 bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",,40 OMR,500.0,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",2.0,50 OMR,300.0,For Rent
3 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",3.0,50 OMR,150.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,40 OMR,100.0,For Rent
900 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,30 OMR,900.0,For Rent
350 m2 4 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",4.0,80 OMR,350.0,For Rent
50 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1.0,20 OMR,50.0,For Rent
90 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",2.0,18 OMR,90.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,30 OMR,,For Rent
Furnished Weekly in Muscat Al Maabilah,"Muscat, Al Maabilah",,10 OMR,,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",2.0,40 OMR,100.0,For Rent
500 m2 More than 6 bedrooms Villa for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",,550 OMR,500.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",2.0,17 OMR,100.0,For Rent
Darsit windfalls flat 3 beads 2 bathroom 1 kitchen شقه جميله غرفتين ومجلس و2 دورات,"Muscat, Darsait",3.0,165 OMR,100.0,For Rent
Furnished Daily in Muscat Al Khoud,"Muscat, Al Khoud",,8 OMR,,For Rent
300 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",4.0,70 OMR,300.0,For Rent
50 m2 1 Bedroom Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",1.0,220 OMR,50.0,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,25 OMR,90.0,For Rent
555 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,30 OMR,555.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Seeb,"Muscat, Seeb",2.0,165 OMR,100.0,For Rent
Furnished Daily in Muscat Al Khuwair,"Muscat, Al Khuwair",,10 OMR,,For Rent
113 m2 2 Bedrooms Apartments for Rent in Dhofar Other,"Dhofar, Other",2.0,40 OMR,113.0,For Rent
150 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",,30 OMR,150.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,10 OMR,,For Rent
100 m2 1 Bedroom Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",1.0,15 OMR,100.0,For Rent
1 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",2.0,15 OMR,1.0,For Rent
150 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,1 OMR,150.0,For Rent
Furnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",,45 OMR,,For Rent
120000 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3.0,45 OMR,120000.0,For Rent
10 m2 Studio Apartments for Rent in Muscat Amerat,"Muscat, Amerat",,7 OMR,10.0,For Rent
Furnished Daily in Muscat Al Mawaleh,"Muscat, Al Mawaleh",,8 OMR,,For Rent
للإيجار مكتب  تجاري واجهة على شارع مزون - معرض ب مساحة مفتوحة بالقرب من المحكمة وامام مختبر الصحة,"Muscat, Al Khoud",,600 OMR,125.0,For Rent
95 m2 2 Bedrooms Apartments for Rent in Muscat Ghala,"Muscat, Ghala",2.0,25 OMR,95.0,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",,55 OMR,,For Rent
300 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",5.0,140 OMR,300.0,For Rent
180 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3.0,50 OMR,180.0,For Rent
3 plus 1 BHK Brand New Villa with Private Pool in Al Muna PPV283,"Muscat, Bosher",4.0,950 OMR,280.0,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",,70 OMR,,For Rent
222 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",3.0,30 OMR,222.0,For Rent
Furnished Monthly in Muscat Al-Hail,"Muscat, Al-Hail",,5 OMR,,For Rent
54 m2 Studio Apartments for Rent in Muscat Bosher,"Muscat, Bosher",,20 OMR,54.0,For Rent
4 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",4.0,85 OMR,2500.0,For Rent
1 Bedroom Chalet for Rent in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",1.0,75 OMR,2000.0,For Rent
3 Bedrooms Chalet for Rent in Muscat Seeb,"Muscat, Seeb",3.0,90 OMR,2500.0,For Rent
Studio Chalet for Rent in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",,75 OMR,2500.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",2.0,25 OMR,100.0,For Rent
70 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",1.0,18 OMR,70.0,For Rent
85 m2 2 Bedrooms Apartments for Rent in Muscat Ansab,"Muscat, Ansab",2.0,385 OMR,85.0,For Rent
Furnished Daily in Muscat Al Khoud,"Muscat, Al Khoud",,6 OMR,,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,1 OMR,,For Rent
Furnished Monthly in Muscat Azaiba,"Muscat, Azaiba",,200 OMR,,For Rent
2 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3.0,45 OMR,2.0,For Rent
2 m2 2 Bedrooms Apartments for Rent in Dhofar Other,"Dhofar, Other",2.0,33 OMR,2.0,For Rent
فندق المجد يوفر غرف للاجار اليومي,"Muscat, Al Maabilah",,10 OMR,5000.0,For Rent
Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",,10 OMR,,For Rent
120 m2 3 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",3.0,10 OMR,120.0,For Rent
Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",,10 OMR,,For Rent
Furnished Monthly in Muscat Azaiba,"Muscat, Azaiba",,150 OMR,,For Rent
Homran House,"Dhofar, Salala",,45 OMR,,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,30 OMR,100.0,For Rent
Al Baha hostel for female in Al Qurm 20,"Muscat, Qurm",,50 OMR,,For Rent
Furnished Daily in Muscat Al Mawaleh,"Muscat, Al Mawaleh",,15 OMR,,For Rent
50 m2 2 Bedrooms Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",2.0,15 OMR,50.0,For Rent
Furnished Daily in Dhofar Taqah,"Dhofar, Taqah",,20 OMR,,For Rent
Unfurnished Yearly in Muscat Ghubrah,"Muscat, Ghubrah",,130 OMR,,For Rent
محلات جديدة للإيجار في سوق السيب مسقط,"Muscat, Seeb",,600 OMR,60.0,For Rent
Ready Cafe/restaurant for sale or rent     Special price *ONLY 8500*,"Muscat, Azaiba",,650 OMR,48.0,For Rent
Unfurnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",,100 OMR,,For Rent
56 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,"35,000 OMR",56.0,For Rent
Furnished Daily in Muscat Al Khoud,"Muscat, Al Khoud",,6 OMR,,For Rent
7000 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3.0,50 OMR,7000.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,25 OMR,100.0,For Rent
Unfurnished Yearly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",,100 OMR,,For Rent
Furnished Daily in Muscat Al Khoud,"Muscat, Al Khoud",,10 OMR,,For Rent
Semi Furnished Daily in Muscat Ansab,"Muscat, Ansab",,10 OMR,,For Rent
75 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,30 OMR,75.0,For Rent
4 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",4.0,60 OMR,300.0,For Rent
26 m2 1 Bedroom Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",1.0,10 OMR,26.0,For Rent
Furnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",,120 OMR,,For Rent
150 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",2.0,18 OMR,150.0,For Rent
Furnished Monthly in Muscat Bosher,"Muscat, Bosher",,105 OMR,,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Amerat,"Muscat, Amerat",2.0,12 OMR,100.0,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,30 OMR,90.0,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",,140 OMR,,For Rent
350 m2 5 Bedrooms Villa for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",5.0,400 OMR,350.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,14 OMR,,For Rent
150 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,35 OMR,150.0,For Rent
100 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1.0,,100.0,For Rent
250 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",5.0,95 OMR,250.0,For Rent
Furnished Daily in Muscat Al Khuwair,"Muscat, Al Khuwair",,8 OMR,,For Rent
300 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,55 OMR,300.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,60 OMR,,For Rent
120 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,30 OMR,120.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,,,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",,30 OMR,,For Rent
for rant room غرفه وحمام فقط السعر شامل الفواتير مياه كهرباء انترنت صيانه قريب الخدمات,"Muscat, Al Khoud",1.0,90 OMR,40.0,For Rent
Furnished Daily in Muscat Al Khoud,"Muscat, Al Khoud",,13 OMR,,For Rent
2 Bedrooms Chalet for Rent in Al Dakhiliya Other,"Al Dakhiliya, Other",2.0,58 OMR,250.0,For Rent
450 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2.0,25 OMR,450.0,For Rent
Furnished Daily in Muscat Al Mawaleh,"Muscat, Al Mawaleh",,10 OMR,,For Rent
